ratio,test,iter,size,CPU,Comm,total
0.700000,40,9,59528220,3.521413,0.586339,4.107752
0.600000,1,3,1,0.000106,0.000100,0.000206
0.600000,2,15,7,0.010072,0.001683,0.011755
0.600000,3,21,10,0.050097,0.001705,0.051801
0.600000,4,0,0,0.000007,0.000000,0.000007
0.600000,5,1,0,0.000032,0.000026,0.000058
0.600000,6,11,31029,0.001923,0.000478,0.002401
0.600000,7,5,5198,0.000581,0.000242,0.000823
0.600000,8,1,0,0.009149,0.001116,0.010264
0.600000,9,25,46122,0.001935,0.000457,0.002392
0.600000,10,37,29298,0.015696,0.001378,0.017074
0.600000,11,14,7,0.009698,0.001621,0.011320
0.600000,12,0,0,0.000004,0.000000,0.000004
0.600000,13,16,8,0.010863,0.001301,0.012164
0.600000,14,16,5686,0.010900,0.001978,0.012878
0.600000,15,36,7810,0.035358,0.007324,0.042682
0.600000,16,12,25786,0.009976,0.000450,0.010426
0.600000,17,21,186254,0.019882,0.002572,0.022454
0.600000,18,13,62367,0.019305,0.002250,0.021555
0.600000,19,3,7,0.019094,0.002041,0.021135
0.600000,20,25,5181,0.001978,0.000342,0.002320
0.600000,21,41,9626,0.001311,0.000356,0.001667
0.600000,22,25,25363,0.005637,0.000390,0.006026
0.600000,23,25,184730,0.004405,0.000928,0.005333
0.600000,24,15,57431,0.005131,0.000631,0.005762
0.600000,25,3,7,0.000929,0.000073,0.001002
0.600000,26,1,0,0.000339,0.000043,0.000381
0.600000,27,25,88608,0.004230,0.000718,0.004948
0.600000,28,41,780902,0.007644,0.003254,0.010897
0.600000,29,25,480889,0.064325,0.002269,0.066593
0.600000,30,25,29604759,0.972774,0.231258,1.204033
0.600000,31,21,11692482,0.519934,0.077441,0.597375
0.600000,32,3,6,0.168634,0.004377,0.173011
0.600000,33,13,248378061,5.991387,1.354984,7.346371
0.600000,34,13,135220707,5.435069,0.775235,6.210304
0.600000,35,13,248372424,6.831756,1.347744,8.179500
0.600000,36,13,24606538,2.967345,0.102394,3.069739
0.600000,37,13,17636299,2.036516,0.129167,2.165683
0.600000,38,13,248343594,6.976237,1.022020,7.998257
0.600000,39,25,247867288,4.799298,1.338184,6.137481
0.600000,40,9,54308652,3.479352,0.562230,4.041582
0.500000,1,3,1,0.000108,0.000104,0.000212
0.500000,2,15,7,0.010443,0.001701,0.012144
0.500000,3,21,10,0.050873,0.001396,0.052270
0.500000,4,0,0,0.000007,0.000000,0.000007
0.500000,5,1,0,0.000031,0.000034,0.000065
0.500000,6,13,27660,0.002032,0.000421,0.002453
0.500000,7,5,5133,0.000429,0.001100,0.001530
0.500000,8,1,0,0.009326,0.001131,0.010457
0.500000,9,26,42171,0.002208,0.000373,0.002581
0.500000,10,38,27035,0.012331,0.001587,0.013918
0.500000,11,14,7,0.009474,0.001554,0.011028
0.500000,12,0,0,0.000004,0.000000,0.000004
0.500000,13,16,8,0.009921,0.001140,0.011062
0.500000,14,17,5252,0.009735,0.001788,0.011523
0.500000,15,42,7306,0.040099,0.007150,0.047249
0.500000,16,13,23540,0.010427,0.000380,0.010807
0.500000,17,21,169051,0.014414,0.001907,0.016321
0.500000,18,13,52467,0.014079,0.001536,0.015615
0.500000,19,3,7,0.011644,0.001293,0.012937
0.500000,20,26,4734,0.002565,0.000332,0.002897
0.500000,21,48,9015,0.001692,0.000438,0.002130
0.500000,22,25,23126,0.004710,0.000312,0.005021
0.500000,23,26,168766,0.007920,0.001217,0.009137
0.500000,24,15,48365,0.003115,0.000447,0.003562
0.500000,25,3,7,0.001143,0.000092,0.001235
0.500000,26,1,0,0.001343,0.000166,0.001509
0.500000,27,27,80904,0.002669,0.000588,0.003257
0.500000,28,48,729177,0.015355,0.003748,0.019102
0.500000,29,25,437723,0.064569,0.002054,0.066623
0.500000,30,25,27043427,0.990646,0.210182,1.200828
0.500000,31,21,9836067,0.510501,0.066211,0.576712
0.500000,32,3,6,0.118791,0.003601,0.122392
0.500000,33,14,228362964,6.210932,1.247377,7.458310
0.500000,34,13,116051152,5.398015,0.682194,6.080209
0.500000,35,14,228358364,7.149290,1.236912,8.386201
0.500000,36,13,20505448,2.897567,0.085936,2.983504
0.500000,37,13,14840298,2.002699,0.118493,2.121192
0.500000,38,13,228338078,7.152665,0.955720,8.108384
0.500000,39,26,226423173,8.266427,1.511630,9.778056
0.500000,40,9,49089075,3.437345,0.548869,3.986214
0.400000,1,3,1,0.000097,0.000093,0.000190
0.400000,2,15,7,0.009303,0.001535,0.010838
0.400000,3,21,10,0.061346,0.001976,0.063323
0.400000,4,0,0,0.000007,0.000000,0.000007
0.400000,5,1,0,0.000030,0.000027,0.000057
0.400000,6,15,25668,0.002253,0.000409,0.002662
0.400000,7,5,4381,0.000703,0.000685,0.001388
0.400000,8,1,0,0.015658,0.001177,0.016835
0.400000,9,32,39149,0.002501,0.000413,0.002914
0.400000,10,47,25029,0.011256,0.001449,0.012705
0.400000,11,14,7,0.004297,0.000721,0.005018
0.400000,12,0,0,0.000005,0.000000,0.000005
0.400000,13,16,8,0.015593,0.001702,0.017294
0.400000,14,21,4830,0.009903,0.001832,0.011735
0.400000,15,52,6872,0.069377,0.010941,0.080318
0.400000,16,15,21580,0.009638,0.000432,0.010070
0.400000,17,27,157499,0.018898,0.002501,0.021399
0.400000,18,13,42514,0.016159,0.001859,0.018018
0.400000,19,3,7,0.016661,0.001841,0.018503
0.400000,20,32,4398,0.001500,0.000359,0.001859
0.400000,21,60,8441,0.001869,0.000494,0.002363
0.400000,22,31,21395,0.006166,0.000346,0.006512
0.400000,23,32,156767,0.005384,0.000814,0.006198
0.400000,24,15,39360,0.004423,0.000459,0.004882
0.400000,25,3,7,0.001027,0.000130,0.001158
0.400000,26,1,0,0.000393,0.000054,0.000446
0.400000,27,33,75131,0.002837,0.000504,0.003341
0.400000,28,60,683339,0.009789,0.002852,0.012641
0.400000,29,31,404181,0.080182,0.002097,0.082279
0.400000,30,31,25123869,1.126718,0.191323,1.318041
0.400000,31,21,8006964,0.666820,0.066419,0.733240
0.400000,32,3,6,0.164170,0.003647,0.167818
0.400000,33,17,211729428,7.206497,1.130929,8.337426
0.400000,34,13,98541469,5.444629,0.608630,6.053259
0.400000,35,17,211725434,7.719543,1.135089,8.854632
0.400000,36,13,16404358,3.563466,0.093694,3.657160
0.400000,37,13,13162367,2.002004,0.112454,2.114457
0.400000,38,17,211687227,9.058274,1.197282,10.255556
0.400000,39,31,210350980,5.602930,1.039387,6.642317
0.400000,40,9,39768418,3.390364,0.512593,3.902957
0.300000,1,3,1,0.000112,0.000223,0.000335
0.300000,2,15,7,0.009757,0.001618,0.011375
0.300000,3,21,10,0.062239,0.001704,0.063943
0.300000,4,0,0,0.000007,0.000000,0.000007
0.300000,5,1,0,0.000725,0.000029,0.000754
0.300000,6,19,23717,0.002832,0.000512,0.003344
0.300000,7,7,4098,0.000504,0.000258,0.000762
0.300000,8,1,0,0.013748,0.001644,0.015392
0.300000,9,42,36612,0.003916,0.000564,0.004480
0.300000,10,62,23443,0.012476,0.001503,0.013979
0.300000,11,14,7,0.010488,0.001773,0.012261
0.300000,12,0,0,0.000004,0.000000,0.000004
0.300000,13,16,8,0.014924,0.001684,0.016608
0.300000,14,27,4472,0.010823,0.001971,0.012795
0.300000,15,70,6417,0.051674,0.009821,0.061495
0.300000,16,19,19954,0.009272,0.000243,0.009516
0.300000,17,35,145867,0.023144,0.002730,0.025874
0.300000,18,13,33325,0.014013,0.001438,0.015451
0.300000,19,3,7,0.018108,0.001930,0.020038
0.300000,20,42,4112,0.002182,0.000431,0.002613
0.300000,21,78,7899,0.001819,0.000547,0.002366
0.300000,22,41,19920,0.007897,0.000490,0.008387
0.300000,23,41,146823,0.006109,0.000826,0.006935
0.300000,24,15,31686,0.003511,0.000444,0.003955
0.300000,25,3,7,0.000847,0.000145,0.000991
0.300000,26,1,0,0.000641,0.000171,0.000812
0.300000,27,43,70375,0.004873,0.000684,0.005558
0.300000,28,78,639062,0.012394,0.002786,0.015180
0.300000,29,41,376068,0.105279,0.002163,0.107442
0.300000,30,41,23533727,0.825241,0.129436,0.954676
0.300000,31,21,6393339,0.492698,0.042624,0.535322
0.300000,32,3,6,0.163450,0.003681,0.167132
0.300000,33,22,193867874,7.752835,0.993502,8.746338
0.300000,34,13,81518099,8.336368,0.818937,9.155305
0.300000,35,22,193865675,8.625324,1.088815,9.714139
0.300000,36,13,12303269,2.806131,0.076562,2.882694
0.300000,37,13,10905209,2.307345,0.117613,2.424958
0.300000,38,21,193844709,8.432046,0.921600,9.353646
0.300000,39,41,197043164,9.405702,1.326084,10.731786
0.300000,40,9,38398922,3.710536,0.532583,4.243119
